Descriptor,Statistics,p,alpha,Interpretation
AATSC5are,1140511826.0,0.007288464552329728,0.05,Different distribution (reject H0)
AATSC6are,925584237.5,0.0,0.05,Different distribution (reject H0)
AATSC7are,1072804941.0,1.6786728977332053e-74,0.05,Different distribution (reject H0)
AATSC8are,1122645725.5,1.962616913820533e-11,0.05,Different distribution (reject H0)
AATSC0p,991184490.5,5.866836650811927e-304,0.05,Different distribution (reject H0)
AATSC1p,1130386411.5,7.826680653245772e-07,0.05,Different distribution (reject H0)
AATSC2p,1094355413.0,4.349025846911944e-40,0.05,Different distribution (reject H0)
AATSC3p,979689227.0,0.0,0.05,Different distribution (reject H0)
AATSC4p,1109971176.5,5.831264126367813e-22,0.05,Different distribution (reject H0)
AATSC5p,987344994.5,0.0,0.05,Different distribution (reject H0)
AATSC6p,1013906080.0,2.5815880627577933e-224,0.05,Different distribution (reject H0)
AATSC7p,1092186128.0,4.6569616641352106e-43,0.05,Different distribution (reject H0)
AATSC8p,1139256313.5,0.0031156802507395225,0.05,Different distribution (reject H0)
AATSC0i,1024155823.5,2.2714233253075645e-192,0.05,Different distribution (reject H0)
AATSC1i,1097125726.5,1.866884000681981e-36,0.05,Different distribution (reject H0)
AATSC2i,1092917155.0,4.801717230853249e-42,0.05,Different distribution (reject H0)
AATSC3i,1022501995.0,2.3415086034043338e-197,0.05,Different distribution (reject H0)
AATSC4i,1121691952.5,4.27025513691342e-12,0.05,Different distribution (reject H0)
AATSC5i,1018306185.5,2.6828433149296102e-210,0.05,Different distribution (reject H0)
AATSC6i,1047675765.5,1.99937089784816e-128,0.05,Different distribution (reject H0)
AATSC7i,1120310642.0,4.3035309275019854e-13,0.05,Different distribution (reject H0)
AATSC8i,1078243667.0,8.70324350397087e-65,0.05,Different distribution (reject H0)
MATS1c,1033532606.5,2.5798646940870577e-165,0.05,Different distribution (reject H0)
MATS2c,1011417654.0,1.9182228956544347e-232,0.05,Different distribution (reject H0)
MATS3c,1133442384.5,2.15281303956396e-05,0.05,Different distribution (reject H0)
MATS4c,949247316.5,0.0,0.05,Different distribution (reject H0)
MATS5c,1076354636.0,4.408796482286377e-68,0.05,Different distribution (reject H0)
MATS6c,1041920785.0,7.225955838479804e-143,0.05,Different distribution (reject H0)
MATS7c,961554817.0,0.0,0.05,Different distribution (reject H0)
MATS8c,1013120705.5,7.278633308941961e-227,0.05,Different distribution (reject H0)
MATS1dv,1062992948.5,8.68009796616382e-94,0.05,Different distribution (reject H0)
MATS2dv,958614713.0,0.0,0.05,Different distribution (reject H0)
MATS3dv,1140020065.0,0.005273800031500824,0.05,Different distribution (reject H0)
MATS4dv,1043448683.5,5.8774426263886406e-139,0.05,Different distribution (reject H0)
MATS5dv,1144312554.5,0.05975112798752652,0.05,Same distribution (fail to reject H0)
MATS6dv,1051221843.0,6.475640951832137e-120,0.05,Different distribution (reject H0)
MATS7dv,1068523929.0,1.2268511300562617e-82,0.05,Different distribution (reject H0)
MATS8dv,1136612434.0,0.00040176570060669966,0.05,Different distribution (reject H0)
MATS1d,1097907323.5,1.834326008409117e-35,0.05,Different distribution (reject H0)
MATS2d,1116328821.5,3.259971642381804e-16,0.05,Different distribution (reject H0)
MATS3d,1098192253.5,4.184825118538631e-35,0.05,Different distribution (reject H0)
MATS4d,1042531343.5,2.6796087209811485e-141,0.05,Different distribution (reject H0)
MATS5d,1110872752.0,4.3467315405563185e-21,0.05,Different distribution (reject H0)
MATS6d,1074886225.5,1.0586465842393318e-70,0.05,Different distribution (reject H0)
MATS7d,1135168420.5,0.00011294986975210525,0.05,Different distribution (reject H0)
MATS8d,1110081014.5,7.46553951323432e-22,0.05,Different distribution (reject H0)
MATS1s,1100855923.5,7.555485505291756e-32,0.05,Different distribution (reject H0)
MATS2s,904635530.0,0.0,0.05,Different distribution (reject H0)
MATS3s,1078084044.0,4.6178765382442325e-65,0.05,Different distribution (reject H0)
MATS4s,1099677208.5,2.868643167051426e-33,0.05,Different distribution (reject H0)
MATS5s,1108730115.5,3.418268830945737e-23,0.05,Different distribution (reject H0)
